Employee ID,First Name,Last Name,DateOfBirth,DateOfJoining,Department,Position,Salary,Status
1001,John,Doe,1980-05-15,2020-03-10,Finance,Finance Manager,75000,Permanent
1002,Jane,Smith,1990-08-25,2019-12-05,HR,HR Manager,65000,Permanent
1003,Michael,Johnson,1985-02-10,2021-02-15,IT,IT Manager,80000,Permanent
1004,Susan,Williams,1992-11-18,2022-04-20,Sales,Sales Associate,55000,Permanent
1005,David,Brown,1988-06-30,2021-08-12,Finance,Finance Analyst,60000,Permanent
1006,Emily,Davis,1994-09-22,2023-01-08,HR,HR Assistant,48000,Permanent
1007,Robert,Miller,1983-12-08,2020-06-25,Sales,Sales Executive,70000,Permanent
1008,Sarah,Anderson,1991-03-03,2018-11-02,IT,Senior Analyst,72000,Permanent
1009,William,Clark,1987-07-14,2022-09-30,Sales,Sales Manager,85000,Permanent
1010,Olivia,White,1989-04-28,2019-10-15,Finance,Finance Manager,76000,Permanent
1011,James,Lee,1995-01-07,2023-03-18,HR,HR Specialist,58000,Permanent
1012,Emma,Harris,1984-10-12,2021-07-05,IT,Junior Analyst,60000,Permanent
1013,Joseph,Turner,1981-03-25,2017-06-14,Finance,Finance Analyst,62000,Permanent
1014,Ava,Thomas,1993-07-03,2022-05-22,Sales,Sales Associate,57000,Permanent
1015,Charles,Evans,1986-09-19,2020-08-03,HR,HR Manager,68000,Permanent
1016,Mia,Moore,1990-11-11,2018-09-10,IT,IT Manager,82000,Permanent
1017,Andrew,Hall,1982-04-05,2021-04-30,Sales,Sales Executive,72000,Permanent
1018,Abigail,King,1996-06-28,2023-02-12,Finance,Finance Manager,77000,Permanent
1019,Matthew,Scott,1989-08-17,2022-01-17,HR,HR Assistant,49000,Permanent
1020,Ella,Adams,1980-12-02,2019-11-22,IT,Senior Analyst,73000,Permanent
1021,Christopher,Wilson,1987-01-31,2020-07-09,Sales,Sales Manager,88000,Permanent
1022,Sophia,Green,1994-05-09,2022-03-14,Finance,Finance Analyst,64000,Permanent
1023,Daniel,Baker,1983-02-28,2017-10-20,HR,HR Specialist,59000,Permanent
1024,Grace,Ross,1991-06-15,2021-09-28,IT,Junior Analyst,61000,Permanent
1025,Anthony,Cook,1985-10-04,2018-05-07,Finance,Finance Manager,78000,Permanent
1026,Chloe,Morgan,1995-04-19,2020-02-11,Sales,Sales Associate,56000,Permanent
1027,David,Hill,1988-07-26,2019-08-14,HR,HR Manager,67000,Permanent
1028,Isabella,Wright,1984-03-07,2021-12-03,IT,IT Manager,81000,Permanent
1029,John,Young,1993-09-01,2022-07-26,Sales,Sales Executive,71000,Permanent
1030,Ella,Turner,1986-11-23,2018-03-19,Finance,Finance Analyst,63000,Permanent
