RowID,OrderID,OrderDate,OrderMonthYear,Quantity,Quote,Discount,Rate,SaleAmount,CustomerName,CompanyName,Sector,Industry,City,ZipCode,State,Region,ProjectCompleteDate,DaysToComplete,ProductKey,ProductCategory,ProductSubCategory,Consultant,Manager,HourlyWage,RowCount,WageMargin
1,3,10/13/2010,10/1/2010,6,1200,0.04,200,1152,Muhammed MacIntyre,CA Inc.,Technology,Computer Software: Prepackaged Software,Highland Park,60035,Illinois,Central,10/20/2010,7,Development - Big Data,Development,Big Data,Ethan Bird,Josh Martinez,60,1,0.7
2,6,2/20/2012,2/1/2012,2,280,0.01,140,277.2,Ruben Staebel,Celgene Corporation,Health Care,Major Pharmaceuticals,Edmonds,98026,Washington,West,2/21/2012,1,Development - Front End Web,Development,Front End Web,Isabella Douglas,Bob Turner,75,1,0.46
3,32,7/15/2011,7/1/2011,26,3250,0.07,125,3022.5,Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Elk Plain,98387,Washington,West,7/17/2011,2,Training - SQL,Training,SQL,Isabella Douglas,Bob Turner,75,1,0.4
4,32,7/15/2011,7/1/2011,24,3000,0.09,125,2730,Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Elk Plain,98387,Washington,West,7/16/2011,1,Training - Javascript,Training,Javascript,Olivia Sullivan,Bob Turner,53,1,0.58
5,32,7/15/2011,7/1/2011,23,3450,0.04,150,3312,Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Elk Plain,98387,Washington,West,7/17/2011,2,Consulting - Market Research,Consulting,Market Research,Abigail Young,Bob Turner,50,1,0.67
6,32,7/15/2011,7/1/2011,15,2250,0.04,150,2160,Liz Greer,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,High Point,27260,North Carolina,South,7/16/2011,1,Consulting - Business Model,Consulting,Business Model,Emily Taylor,Frank Mitchell,62,1,0.59
7,35,10/22/2011,10/1/2011,30,3600,0.03,120,3492,Julie Knight,SanDisk Corporation,Technology,Electronic Components,Ames,50010,Iowa,Central,10/23/2011,1,Development - Business Logic,Development,Business Logic,William Bufont,Josh Martinez,62,1,0.48
8,35,10/22/2011,10/1/2011,14,2100,0.01,150,2079,Julie Knight,SanDisk Corporation,Technology,Electronic Components,Ames,50010,Iowa,Central,10/24/2011,2,Consulting - Market Research,Consulting,Market Research,Emma Watson,Josh Martinez,67,1,0.55
9,36,11/2/2011,11/1/2011,46,6900,0.1,150,6210,Sample Manning,Cognizant Technology Solutions Corporation,Technology,EDP Services,Albany,97321,Oregon,West,11/2/2011,0,Consulting - Market Research,Consulting,Market Research,Mia Moore,Bob Turner,51,1,0.66
10,65,3/17/2011,3/1/2011,32,4800,0.02,150,4704,Tamara O'Brill,Symantec Corporation,Technology,Computer Software: Prepackaged Software,Pflugerville,78660,Texas,Central,3/18/2011,1,Consulting - Business Model,Consulting,Business Model,Michael Alister,Josh Martinez,68,1,0.55
11,66,1/19/2009,1/1/2009,41,4920,0.09,120,4477.2,Arthur Nelson,Linear Technology Corporation,Technology,Semiconductors,Santa Fe,87505,New Mexico,West,1/19/2009,0,Development - Business Logic,Development,Business Logic,Alexander Edison,Bob Turner,70,1,0.42
12,69,6/3/2009,6/1/2009,42,5250,0.09,125,4777.5,Jonathan Akin,NVIDIA Corporation,Technology,Semiconductors,Garner,27529,North Carolina,South,6/5/2009,2,Training - SQL,Training,SQL,Noah Smith,Frank Mitchell,59,1,0.53
